N,id_TT,name_TT,address,latitude,longitude,region_tt
1398,11679,1398М_Свободы34,Москва Свободы 34,55.843449,37.455795,Москва
1399,11680,1399М_Талдомская15,Москва Талдомская 15,55.873784,37.521623,Москва
1404,11685,1404М_Ленинский62,"Москва Ленинский проспект, дом 62/1",55.693992,37.554457,Москва
1406,11687,1406М_Плющиха42,Москва ул.Плющиха 42,55.741019,37.576358,Москва
1415,11696,1415М_Воротынская6,Москва Воротынская 6,55.888129,37.400351,Москва
1417,11698,1417М_Енисейская22,"Москва г. Москва, Енисейская, 22 корп.2",55.868791,37.665215,Москва
1418,11699,1418М_Садовая-Спасская21,"Москва ул. Садовая-Спасская, д. 21/1",55.770086,37.650564,Москва
1420,11701,1420М_Полярная10с1,"Москва ул.Полярная, д.10 стр 1",55.874561,37.638270,Москва
1424,11705,1424М_ЯсныйПроезд10,Москва Ясный проезд 10,55.873885,37.629215,Москва
1425,11706,1425М_Перовская56,"Москва Перовская, 56/55",55.745184,37.789573,Москва
1428,11709,1428М_Покровка35,"Москва ул. Покровка, д. 35/17 стр. 1",55.761315,37.650603,Москва
1430,11711,1430М_Дмитрия_Ульянова24,Москва Дмитрия Ульянова 24,55.687178,37.573645,Москва
1431,11712,1431М_Дежнева27к1,"Москва проезд Дежнева, дом 27 корпус 1",55.870193,37.633805,Москва
1433,11714,1433М_БКозловский11,"Москва г. Москва, Большой Козловский переулок, 11с1",55.766425,37.647846,Москва
1435,11716,1435Ш_МусыДжалиля16,"Москва Мусы Джалиля, 16",55.623956,37.742151,Москва
1437,11718,1437М_АМонаховой95,"Москва ул. Александры Монаховой, 95к1",55.542126,37.490209,Москва
1442,11723,1442Ш_ОлекоДундича5,"Москва улица Олеко Дундича, 5",55.741866,37.496463,Москва
1443,11724,1443М_КраснаяПресня21,Москва Красная Пресня 21,55.761381,37.570186,Москва
1444,11725,1444М_Суздальская30,"Москва Суздальская, 30/2",55.743674,37.863423,Москва
1445,11726,1445Ш_Мурановская7,"Москва Мурановская, 7",55.892183,37.597369,Москва
1448,11729,1448М_ММалиновского8,"Москва Маршала Малиновского, 8",55.792645,37.493587,Москва
1451,11732,1451М_Декабристов35,Москва ул. Декабристов 35 г стр 1,55.861676,37.613449,Москва
1452,11734,1452М_Новокосинская47,"Москва ул. Новокосинская ,47",55.743928,37.874464,Москва
1456,11738,1456М_Новослободская50,"Москва Новослободская, 50/1с2",55.786996,37.594414,Москва
1457,11739,1457М_Таганская31,"Москва Таганская, 31/22",55.739676,37.669639,Москва
1460,11742,1460М_Ленинградское36,"Москва Ленинградское ш., д.36, корп.1",55.830326,37.489338,Москва
1463,11745,1463М_Первомайская34,"Москва Первомайская, 34/16",55.792539,37.783752,Москва
1466,11748,1466Ш_ГероевПанфиловцев8,"Москва ул. Героев-Панфиловцев, д. 8, к. 1",55.854835,37.439275,Москва
1467,11749,1467М_Вернадского33,"Москва просп. Вернадского, д.33",55.680742,37.514563,Москва
1468,11750,1468Ш_Производственная2,"Москва ул. Производственная, д. 2",55.650455,37.388008,Москва
1469,11751,1469Ш_Кантемировская7,"Москва Кантемировская, 7к1",55.635965,37.672837,Москва
1471,11753,1471М_Судостроительная11,"Москва Судостроительная, 11к1",55.680559,37.671399,Москва
1472,11754,1472М_Новопесчаная21,"Москва Новопесчаная, 21к1",55.794345,37.511877,Москва
1475,11757,1475М_ПресненскийВал5,"Москва ул. Пресненский Вал, д.5",55.766192,37.564051,Москва
1479,11761,1479М_Вучетича22,"Москва Вучетича, 22",55.811735,37.558113,Москва
1480,11762,1480М_АкВолгина8,"Москва Академика Волгина, 8а",55.651562,37.517141,Москва
1483,11765,1483М_ВерхКрасносельская38,"Москва Верхняя Красносельская, 38/19с1",55.779520,37.665569,Москва
1484,11766,1484М_АкАнохина38,"Москва Академика Анохина, 38к1",55.658484,37.471345,Москва
1487,11769,1487М_Садовая-Кудринская81012,"Москва Садовая-Кудринская, 8-10-12с1",55.761102,37.586634,Москва
1491,11773,1491М_АдмЛазарева63,"Москва Адмирала Лазарева, 63",55.537429,37.506334,Москва
1492,11774,1492М_Рязанский75,"Москва Рязанский проспект, 75 Б стр. 1",55.717776,37.792411,Москва
1493,11775,1493М_Волгоградский94,"Москва Волгоградский пр-т, 94к1",55.704129,37.771292,Москва
1494,11776,1494М_Скобелевская20,"Москва ул. Скобелевская, 20",55.546053,37.555445,Москва
1495,11777,1495М_ЛенинскийПроспект148,"Москва Ленинский проспект, 148с1",55.656194,37.492823,Москва
1497,11779,1497М_Скобелевская14,"Москва Скобелевская, 14",55.549103,37.554232,Москва
1498,11780,1498М_ЗубовскийБульвар17,"Москва Зубовский бульвар , 17",55.736306,37.590497,Москва
1500,11782,1500М_Университетский4,"Москва Университетский пр-т, д. 4",55.697067,37.553810,Москва
1501,11783,1501М_Пырьева5,"Москва ул. Пырьева, д. 5а",55.725894,37.526357,Москва
1503,11785,1503Ш_Мячковский13,"Москва Мячковский бул., д. 13",55.654599,37.757000,Москва
1505,11787,1505М_Зел_корпус826,Зеленоград корпус 826,55.980080,37.184027,Москва
1507,11789,1507М_Уральская11,"Москва ул. Уральская, д. 11",55.817588,37.797442,Москва
1508,11790,1508М_Ленинский131,"Москва Ленинский проспект, д. 131",55.644145,37.473492,Москва
1511,11796,1511М_Квесисская18,"Москва ул. 1-я Квесисская, д. 18",55.794239,37.578720,Москва
1513,11798,1513М_Валовая11,"Москва ул. Валовая, д. 11/19",55.730218,37.632430,Москва
1517,11802,1517М_Михайлова22,"Москва ул. Михайлова, д. 22 к. 1",55.726482,37.769325,Москва
1519,11804,1519М_Оружейный5,"Москва Оружейный пер., д. 5",55.771266,37.597998,Москва
1520,11805,1520М_Живописная12,"Москва ул. Живописная, д. 12 к. 1",55.784435,37.457070,Москва
1521,11806,1521М_Просторная6,"Москва ул. Просторная, д. 6",55.804299,37.716252,Москва
1524,11809,1524М_Петровско-Разумовский18,"Москва Петровско-Разумовский пр., д. 18",55.798950,37.567671,Москва
1526,11811,1526М_МаршалаВасилевского5,"Москва ул. Маршала Василевского, д. 5 к. 1",55.804091,37.471497,Москва
1530,11815,1530М_Чертановская9,"Москва ул. Чертановская, д. 9 стр. 1",55.628723,37.599732,Москва
1532,11817,1532М_Зел_Юности2,"Зеленоград площадь Юности, д. 2, стр. 1",56.002279,37.211004,Москва
1536,11820,1536М_Ключевая6,"Москва ул. Ключевая, д. 6 к. 1",55.637718,37.757485,Москва
1537,11822,1537М_Каховка19,"Москва ул. Каховка, д. 19 к. 1",55.653477,37.578406,Москва
1540,11825,1540М_Пролетарский29,"Москва пр-т Пролетарский, д. 29",55.635243,37.658122,Москва
1543,11827,1543М_Шаболовка20,"Москва ул. Шаболовка, д. 20",55.721544,37.609568,Москва
1545,11830,1545М_Чусовская15,"Москва ул. Чусовская, д. 15",55.816283,37.811060,Москва
1549,11834,1549М_Грина11,"Москва ул. Грина, д. 11",55.567519,37.566961,Москва
1550,11835,1550М_Яна Райниса30,"Москва б-р Яна Райниса, д. 30 к. 1",55.850995,37.410187,Москва
1553,11838,1553М_Профсоюзная98,"Москва ул. Профсоюзная, д. 98 к. 1",55.645878,37.526528,Москва
1555,11840,1555М_Лубянский27,"Москва пр. Лубянский, д. 27/1 стр. 1",55.754223,37.635125,Москва
1556,11841,1556М_БОчаковская32,"Москва ул. Большая Очаковская, д. 32",55.680118,37.451564,Москва
1560,11845,1560М_Нижегородская13,"Москва ул. Нижегородская, д. 13Б",55.737856,37.686806,Москва
1561,11846,1561М_Руставели6,"Москва ул. Руставели, д. 6 к. 6",55.812317,37.589248,Москва
1562,11847,1562М_АкадемикаАнохина2,"Москва ул. Академика  Анохина, д. 2 к. 1а",55.670214,37.476654,Москва
1566,11851,1566М_СоловьинаяРоща11,"Москва ул. Соловьиная Роща, д. 11",55.896761,37.396775,Москва
1569,11854,1569М_Гарибальди15,"Москва ул. Гарибальди, д. 15",55.675230,37.545923,Москва
1570,11855,1570М_Филевский12,"Москва Филёвский б-р, д. 12 стр. 2",55.765281,37.485987,Москва
1583,11868,1583М_Фестивальная28,"Москва ул. Фестивальная, д.28 стр. 1",55.860923,37.503361,Москва
1586,11871,1586М_Вавилова86,"Москва ул. Вавилова, д. 86",55.676940,37.541090,Москва
1588,11873,1588М_пВоскресенское29,"Москва пос. Воскресенское, д. 29, пом. 1",55.529660,37.445347,Москва
1590,11875,1590Ш_Широкая1,"Москва ул. Широкая, д. 1 к. 1",55.888427,37.649418,Москва
1591,11876,1591М_Зел_корпус612,Зеленоград корпус 612,55.988122,37.232393,Москва
1592,11877,1592М_Зел_Корпус1406,Зеленоград корпус 1406,55.984416,37.147376,Москва
